,endTime,artistName,trackName,msPlayed
2100,2021-03-17 04:23,Gideon,Cursed,2985
2101,2021-03-17 04:23,Sleeping With Sirens,Scene One - James Dean & Audrey Hepburn,1920
2102,2021-03-17 04:23,Northlane,Bloodline,205666
2103,2021-03-17 04:23,Sleeping With Sirens,Scene Four - Don't You Ever Forget About Me,3477
2104,2021-03-17 04:28,Sleeping With Sirens,Scene One - James Dean & Audrey Hepburn,256053
2105,2021-03-17 04:31,Sleeping With Sirens,Scene Two - Roger Rabbit,197946
2106,2021-03-17 04:35,Sleeping With Sirens,Scene Three - Stomach Tied In Knots,209573
2107,2021-03-17 04:38,Sleeping With Sirens,Scene Four - Don't You Ever Forget About Me,204866
2108,2021-03-17 04:42,Sleeping With Sirens,If You Can't Hang,3690
2109,2021-03-17 04:42,Sleeping With Sirens,Scene Five - With Ears To See and Eyes To Hear,227573
2110,2021-03-17 04:46,Sleeping With Sirens,Scene One - James Dean & Audrey Hepburn,256053
2111,2021-03-17 04:49,Sleeping With Sirens,Scene Two - Roger Rabbit,197946
2112,2021-03-17 04:53,Sleeping With Sirens,Scene Three - Stomach Tied In Knots,209573
2113,2021-03-17 04:56,Sleeping With Sirens,Scene Four - Don't You Ever Forget About Me,204866
2114,2021-03-17 05:00,Sleeping With Sirens,Better Off Dead,12191
2115,2021-03-17 05:00,Sleeping With Sirens,Scene Five - With Ears To See and Eyes To Hear,227573
2116,2021-03-17 05:00,The Heavy,Put It on the Line - Theme from Borderlands,1248
2117,2021-03-17 05:01,Underoath,A Boy Brushed Red Living In Black And White,4213
2118,2021-03-17 05:01,Cage The Elephant,Ain't No Rest for the Wicked,16960
2119,2021-03-17 05:01,A Day To Remember,The Downfall of Us All,9461
2120,2021-03-17 05:05,A Day To Remember,If It Means a Lot to You,243226
2121,2021-03-17 05:08,A Day To Remember,All I Want,202640
2122,2021-03-17 05:12,A Day To Remember,Paranoia,200676
2123,2021-03-17 05:13,A Day To Remember,Resentment,60362
2124,2021-03-17 05:16,A Day To Remember,The Downfall of Us All,209093
2125,2021-03-17 05:19,A Day To Remember,All Signs Point to Lauderdale,197200
2126,2021-03-17 05:22,A Day To Remember,Mindreader,173520
2127,2021-03-17 05:25,A Day To Remember,Degenerates,184893
2128,2021-03-17 05:28,A Day To Remember,"I'm Made of Wax, Larry, What Are You Made Of?",180840
2129,2021-03-17 05:31,A Day To Remember,Everything We Need,185200
2130,2021-03-17 05:32,Marshmello,Rescue Me,12682
2131,2021-03-17 05:32,A Day To Remember,Last Chance To Dance (Bad Friend),12994
2132,2021-03-17 05:35,A Day To Remember,Have Faith In Me,188813
2133,2021-03-17 05:37,A Day To Remember,The Plot to Bomb the Panhandle,4810
2134,2021-03-17 05:37,A Day To Remember,It's Complicated,1749
2135,2021-03-17 05:37,A Day To Remember,Better Off This Way,2464
2136,2021-03-17 05:37,A Day To Remember,Since U Been Gone,84649
2137,2021-03-17 05:37,A Day To Remember,F.Y.M.,46368
2138,2021-03-17 05:40,A Day To Remember,2nd Sucks,147626
2139,2021-03-17 05:41,A Day To Remember,You Should've Killed Me When You Had the Chance,94977
2140,2021-03-17 05:45,A Day To Remember,Bad Vibrations,213817
2141,2021-03-17 18:09,A Day To Remember,Looks Like Hell,219600
2142,2021-03-20 19:25,Mayday Parade,Jamie All Over,216000
2143,2021-03-20 19:29,Taking Back Sunday,Cute Without The 'E' (Cut From The Team) - Remastered,212937
2144,2021-03-20 19:32,Panic! At The Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,200226
2145,2021-03-20 19:36,Relient K,Be My Escape,240453
2146,2021-03-20 19:39,All Time Low,"Dear Maria, Count Me In",182826
2147,2021-03-20 19:42,My Chemical Romance,Teenagers,161920
2148,2021-03-20 19:45,All Time Low,Weightless,198000
2149,2021-03-20 19:49,We The Kings,"Check Yes, Juliet",220146
2150,2021-03-20 19:58,Paramore,Misery Business,211520
2151,2021-03-20 20:01,My Chemical Romance,I'm Not Okay (I Promise),186480
2152,2021-03-20 20:04,Lit,My Own Worst Enemy,169026
2153,2021-03-20 20:07,Good Charlotte,The Anthem,175093
2154,2021-03-20 20:10,Green Day,American Idiot,1365
2155,2021-03-20 20:10,Green Day,Basket Case,1535
2156,2021-03-20 20:10,Good Charlotte,Lifestyles of the Rich & Famous,190173
2157,2021-03-20 20:10,Fountains Of Wayne,Stacy's Mom,2570
2158,2021-03-20 20:10,Simple Plan,I'm Just a Kid,2880
2159,2021-03-20 20:13,Fall Out Boy,"Dance, Dance",180266
2160,2021-03-20 20:16,The Red Jumpsuit Apparatus,Face Down,192000
2161,2021-03-20 20:19,The Offspring,Why Don't You Get A Job,11617
2162,2021-03-20 20:19,The Offspring,"You're Gonna Go Far, Kid",177826
2163,2021-03-20 20:23,Yellowcard,Ocean Avenue,198266
2164,2021-03-20 20:26,AFI,Miss Murder,206586
